TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47939834;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939835;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939836;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939837;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47939838;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47939839;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939840;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939841;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939842;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939843;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939844;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939845;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939846;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939847;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939848;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939849;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939850;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939851;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939852;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939853;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939854;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939856;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939857;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939858;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939859;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939860;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939861;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939862;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939863;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939864;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939865;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939866;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939867;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939868;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939869;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939870;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939871;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939873;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939874;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939875;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939876;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939877;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939878;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939879;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939880;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939881;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939882;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939883;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939884;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939885;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939886;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939887;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939888;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47939889;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939890;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939891;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939892;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939893;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939894;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939895;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939896;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939897;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939898;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939899;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939900;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939901;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939902;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939903;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939904;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939905;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939906;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939907;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939908;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939909;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939910;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939911;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939912;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939913;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939914;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939915;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939916;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939917;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939918;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939919;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939920;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939921;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939922;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939923;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939924;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939925;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939926;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939927;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939928;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939929;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939930;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939931;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939932;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939933;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939934;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939935;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939936;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939937;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939938;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939939;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939940;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939941;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939942;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939943;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939944;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939945;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939946;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939947;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939948;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939949;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939950;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939951;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939952;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939953;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939954;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939955;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939956;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939957;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939958;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939959;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939960;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939961;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939962;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939963;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939964;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939965;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939966;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939967;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939968;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939969;1m;0od;NE;D;;;0.0000;0.0000;0.0000
47939970;1m;0od;NE;D;;;0.0000;0.0000;0.0000
47939971;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939972;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939973;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939974;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939975;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939976;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939977;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939978;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939979;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939980;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939981;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939982;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939983;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939984;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939985;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939986;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939987;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939988;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939989;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939990;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47939991;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939992;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939993;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939994;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939995;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939996;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939997;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939998;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939999;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940000;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940001;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940002;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940003;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940004;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940005;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940006;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940007;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940008;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940009;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940010;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940011;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940012;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940013;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940014;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940015;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940016;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940017;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940018;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940019;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940020;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940021;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940022;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940023;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940024;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940025;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940026;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940027;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940028;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940029;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940030;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940031;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940032;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940033;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940034;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940035;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940036;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940037;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940038;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940039;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940040;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940041;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940042;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940043;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940044;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940045;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940046;1y;6m;NE;D;;;0.0000;0.0000;0.0000
47940047;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47940048;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47940049;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47940050;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940051;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940052;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940053;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940054;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940055;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940056;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47940057;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940058;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940059;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940060;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940061;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940062;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940063;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940064;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940065;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940066;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940067;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940068;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940069;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940070;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940071;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940072;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940073;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940074;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940075;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940076;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940077;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940078;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940079;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940080;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940081;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940082;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940083;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940084;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940085;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940086;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940087;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940088;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940089;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940090;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940091;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940092;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940093;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940094;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940095;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940096;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940097;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940098;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940099;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940100;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940101;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940102;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940103;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940104;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940105;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940106;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940107;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940108;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940109;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940110;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940111;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940112;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940113;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940114;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940115;1y;3m;NE;D;;;0.0000;0.0000;0.0000
47940116;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47940117;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940118;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940119;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940120;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940121;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940122;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940123;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940124;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940125;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940126;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940127;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940128;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940129;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940130;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940131;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47940132;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940133;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940134;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940135;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940136;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940137;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940138;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940139;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940140;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940141;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940142;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940143;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940144;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940145;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940147;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940148;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940149;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940150;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940151;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940152;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940153;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940154;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940155;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940156;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940157;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940158;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940159;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940160;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940161;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940162;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940163;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940164;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940165;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940166;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940167;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940168;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940169;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940170;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940171;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940172;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940173;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940174;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940175;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940176;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940177;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940178;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940179;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940180;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940181;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940182;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940183;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940184;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940185;1y;3m;NE;D;;;0.0000;0.0000;0.0000
47940186;1y;3m;NE;D;;;0.0000;0.0000;0.0000
47940187;1y;3m;NE;D;;;0.0000;0.0000;0.0000
47940188;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940189;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940190;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940191;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940192;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940193;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940194;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940195;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940196;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940197;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940198;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940199;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940200;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940201;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940202;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940203;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940204;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940205;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940206;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940207;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940208;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940209;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940210;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940211;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940212;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940213;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940214;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940215;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940216;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940217;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47940218;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940219;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940220;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940221;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940222;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940223;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940224;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940225;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940226;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940227;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940228;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940229;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940230;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940231;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940232;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940233;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940234;1m;0od;NE;D;;;0.0000;0.0000;0.0000
47940235;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940236;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940237;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940238;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940239;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940240;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940241;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940242;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940243;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940244;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940245;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940246;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940247;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940248;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940249;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940250;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940251;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940252;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940253;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940254;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940255;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940256;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940257;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940258;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940259;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940260;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940261;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940262;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940263;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940264;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940265;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940266;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940267;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940268;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940269;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940270;1m;1m;DC;D;;;0.0000;0.0000;0.0000
